918 17th Ave SEMinneapolis MN 55414,$2000,4,2,1659 sq ft,Available Now,https://www.apartments.com/918-17th-ave-se-minneapolis-mn/zr5xkpy/, Microwave , Refrigerator ,
1700 Como Ave SEMinneapolis MN 55414,$2200,4,1,1900 sq ft,Available Now,https://www.apartments.com/1700-como-ave-se-minneapolis-mn/mz5jj4h/, Microwave , Refrigerator ,
1022 15th Ave SEMinneapolis MN 55414,$2000,5,2,2000 sq ft,Available Sep 1 2026,https://www.apartments.com/1022-15th-ave-se-minneapolis-mn/whs60kj/, Wi-Fi , Washer/Dryer , Heating , Dishwasher , Kitchen , Hardwood Floors , Laundry Facilities , Yard ,
1811 Como Ave SEMinneapolis MN 55414,$2500,5,2,2900 sq ft,Available Sep 1 2026,https://www.apartments.com/1811-como-ave-se-minneapolis-mn/zk5wycx/, Laundry Facilities ,
1225 8th St SEMinneapolis MN 55414,$3100,5,2,2000 sq ft,Available Sep 1 2026,https://www.apartments.com/1225-8th-st-se-minneapolis-mn/3c8d9fe/, Washer/Dryer , Heating , Dishwasher , Kitchen , Hardwood Floors , Basement , Porch , Yard ,
1231 8th St SEMinneapolis MN 55414,$1800,3,2,2100 sq ft,Available Sep 1 2026,https://www.apartments.com/1231-8th-st-se-minneapolis-mn/38nb04e/, Laundry Facilities ,
1812 Como Ave SEMinneapolis MN 55414,$4300,6,3,3000 sq ft,Available Sep 1 2026,https://www.apartments.com/1812-como-ave-se-minneapolis-mn/jwr8p75/, In-unit laundry , Group Como ,
924 18th Ave SEMinneapolis MN 55414,$3895,5,3,2800 sq ft,Available Sep 1 2026,https://www.apartments.com/924-18th-ave-se-minneapolis-mn/nkbmq6m/, Group Como ,
836 22nd Ave SEMinneapolis MN 55414,$2850,5,2,--,Available Sep 1 2026,https://www.apartments.com/836-22nd-ave-se-minneapolis-mn/39lsble/, Group Como ,
1030 19th Ave SEMinneapolis MN 55414,$2550,4,2,2350 sq ft,Available Sep 1 2026,https://www.apartments.com/1030-19th-ave-se-minneapolis-mn/ffhedst/, Group Como ,
1607 Como Ave SEMinneapolis MN 55414,$3550,5,3,2700 sq ft,Available Sep 1 2026,https://www.apartments.com/1607-como-ave-se-minneapolis-mn/x894k2p/, Group Como ,
1015 27th Ave SEMinneapolis MN 55414,$2400,4,2,1400 sq ft,Available Sep 1 2026,https://www.apartments.com/1015-27th-ave-se-minneapolis-mn/tyksdpb/, Group Como ,
513 8th Ave SEMinneapolis MN 55414,$2000,4,1,1000 sq ft,Available Sep 1 2026,https://www.apartments.com/513-8th-ave-se-minneapolis-mn/eltzpdp/, Washer/Dryer , Hardwood Floors , Laundry Facilities ,
430 8th St SEMinneapolis MN 55414,$2400,6,2,2400 sq ft,Available Sep 1 2026,https://www.apartments.com/430-8th-st-se-minneapolis-mn/0fqzk10/, Laundry Facilities ,
817 7th St SEMinneapolis MN 55414,$2400,4,2,2000 sq ft,Available Sep 1 2026,https://www.apartments.com/817-7th-st-se-minneapolis-mn/db93vvl/, Laundry Facilities ,
809 6th St SEMinneapolis MN 55414,Name not found,Bedrooms not found,Bathrooms not found,SQFT not found,Availability date not found,https://www.apartments.com/809-6th-st-se-minneapolis-mn/dh4z20k/,
816 University Ave SEMinneapolis MN 55414,$3000,5,2,2500 sq ft,Available Sep 1 2026,https://www.apartments.com/816-university-ave-se-minneapolis-mn/vkc5xng/, Laundry Facilities ,
415 4th St SEMinneapolis MN 55414,$1500,3,1,1700 sq ft,Available Sep 1 2026,https://www.apartments.com/415-4th-st-se-minneapolis-mn/t04hbb8/, Laundry Facilities ,
608 8th St SEMinneapolis MN 55414,$2500,5,2,2000 sq ft,Available Sep 1 2026,https://www.apartments.com/608-8th-st-se-minneapolis-mn/pkew8zs/, Washer/Dryer , Heating , Dishwasher , Kitchen , Hardwood Floors , Laundry Facilities , Porch , Yard ,
810 University Ave SEMinneapolis MN 55414,$2100,4,1,1200 sq ft,Available Sep 1 2026,https://www.apartments.com/810-university-ave-se-minneapolis-mn/pmjxe7s/, Washer/Dryer , Ceiling Fans , Storage Space , Tub/Shower , Kitchen , Dining Room ,
311 5th Ave SEMinneapolis MN 55414,$4050,6,2.5,2500 sq ft,Available Sep 1 2026,https://www.apartments.com/311-5th-ave-se-minneapolis-mn/5gpwn0m/, Group Marcy ,
1078 11th Ave SEMinneapolis MN 55414,$2000,4,2,1500 sq ft,Available Sep 1 2026,https://www.apartments.com/1078-11th-ave-se-minneapolis-mn/6l9qdgv/, Washer/Dryer , Dishwasher , Hardwood Floors , Basement , Laundry Facilities , Yard ,
620 11th Ave SEMinneapolis MN 55414,$3200,5,2,2500 sq ft,Available Sep 1 2026,https://www.apartments.com/620-11th-ave-se-minneapolis-mn/dbhgq9k/, Washer/Dryer , Air Conditioning , Dishwasher ,
628 11th Ave SEMinneapolis MN 55414,$3250,5,2,2600 sq ft,Available Sep 1 2026,https://www.apartments.com/628-11th-ave-se-minneapolis-mn/9xf0366/, Laundry Facilities ,
417 11th Ave SEMinneapolis MN 55414,$1750,3,1,1000 sq ft,Available Sep 1 2026,https://www.apartments.com/417-11th-ave-se-minneapolis-mn/nh24j0m/, Washer/Dryer , Heating , Tile Floors , Laundry Facilities ,
1082 11th Ave SEMinneapolis MN 55414,$1400,3,2,1000 sq ft,Available Sep 1 2026,https://www.apartments.com/1082-11th-ave-se-minneapolis-mn/nq78ttq/, Washer/Dryer , Heating , Kitchen ,
612 11th Ave SEMinneapolis MN 55414,$2800,4,2,1577 sq ft,Available Now,https://www.apartments.com/612-11th-ave-se-minneapolis-mn/dkeh98h/, None , Near Campus , Off-street Parking , Dishwasher ,
1309 E Hennepin AveMinneapolis MN 55414,$2400,6,2,3000 sq ft,Available Now,https://www.apartments.com/1309-e-hennepin-ave-minneapolis-mn/4byrz7j/, Washer/Dryer , Hardwood Floors , Laundry Facilities ,
1057 15th Ave SEMinneapolis MN 55414,$1500,3,1,1200 sq ft,Available Sep 1 2026,https://www.apartments.com/1057-15th-ave-se-minneapolis-mn/merlh8j/, Washer/Dryer , Kitchen , Dining Room , Basement ,
1305 E Hennepin AveMinneapolis MN 55414,$2900,6,2,2500 sq ft,Available Sep 1 2026,https://www.apartments.com/1305-e-hennepin-ave-minneapolis-mn/c132vwd/,
1303 E Hennepin AveMinneapolis MN 55414,$1900,4,2,1500 sq ft,Available Sep 1 2026,https://www.apartments.com/1303-e-hennepin-ave-minneapolis-mn/zs7f0zw/, Washer/Dryer , Ceiling Fans , Storage Space , Tub/Shower , Handrails , Framed Mirrors , Kitchen , Dining Room ,
1116 14th Ave SEMinneapolis MN 55414,$1500,3,1,1000 sq ft,Available Sep 1 2026,https://www.apartments.com/1116-14th-ave-se-minneapolis-mn/5kxdkpm/, Washer/Dryer , Heating ,
629 12th Ave SEMinneapolis MN 55414,$3800,6,2,1800 sq ft,Available Now,https://www.apartments.com/629-12th-ave-se-minneapolis-mn/zly5l3w/, Off Street Parking , 2 Refrigerators , High Ceilings , 24 Hour Emergency Maintenance , None , Off-street Parking , Dishwasher ,
1091 15th Ave SEMinneapolis MN 55414,$3395,5,3,2500 sq ft,Available Sep 1 2026,https://www.apartments.com/1091-15th-ave-se-minneapolis-mn/ksgjcr8/, Group Como ,
1075 13th Ave SEMinneapolis MN 55414,$3195,5,2,2300 sq ft,Available Sep 1 2026,https://www.apartments.com/1075-13th-ave-se-minneapolis-mn/m65ys7k/, Freezer , Online Rent Pay , Off-Street Parking , Bonus/Rec room , Dryer , Hardwood Floors , Pet Friendly , In-Unit Laundry , Washer , Cable-ready , Professional Maintenance , Professional Management , Storage space , Tile floor , Dishwasher ,
1108 15th Ave SEMinneapolis MN 55414,$2995,5,2,1950 sq ft,Available Sep 1 2026,https://www.apartments.com/1108-15th-ave-se-minneapolis-mn/mzwwdrk/, Family room , Cable-ready , Freezer , Professional Management , Walk In Closet , Dining room , Hardwood Floors , Pet Friendly , Gas Range/Oven , Laundry , Storage space , Tile floor , Professional Maintenance , Washer , Dryer , Forced Heat , Off-Street Parking , Granite Countertops , Online Rent Pay , Dishwasher ,
15 Malcolm Ave SEMinneapolis MN 55414,$1400,2,1,900 sq ft,Available Now,https://www.apartments.com/15-malcolm-ave-se-minneapolis-mn/bf22hfc/, Refrigerator ,
114 Bedford St SEMinneapolis MN 55414,$3500,4,2,3000 sq ft,Available Now,https://www.apartments.com/114-bedford-st-se-minneapolis-mn/r8085k1/, High Speed Internet Access , Wi-Fi , Washer/Dryer , Heating , Ceiling Fans , Cable Ready , Storage Space , Tub/Shower , Dishwasher , Kitchen , Refrigerator , Dining Room , Basement , Laundry Facilities , Porch , Deck ,
2711 Delaware St SEMinneapolis MN 55414,$3000,6,2,2700 sq ft,Available Sep 1 2026,https://www.apartments.com/2711-delaware-st-se-minneapolis-mn/8wv9pw1/, Laundry Facilities ,
622 Erie St SEMinneapolis MN 55414,$2500,5,2,2000 sq ft,Available Sep 1 2026,https://www.apartments.com/622-erie-st-se-minneapolis-mn/1qe4q47/, Washer/Dryer , Ceiling Fans , Cable Ready , Tub/Shower , Kitchen , Dining Room ,
623 Ontario St SEMinneapolis MN 55414,$2850,5,2,2500 sq ft,Available Sep 1 2026,https://www.apartments.com/623-ontario-st-se-minneapolis-mn/cmebkjf/, Washer/Dryer , Tub/Shower ,
644 Ontario St SEMinneapolis MN 55414,$1750,3,1,1000 sq ft,Available Sep 1 2026,https://www.apartments.com/644-ontario-st-se-minneapolis-mn/sytngp4/, Washer/Dryer , Heating , Kitchen , Laundry Facilities , Lawn ,
780 Curfew StSaint Paul MN 55114,$1950,3,1,1250 sq ft,Available Now,https://www.apartments.com/780-curfew-st-saint-paul-mn/2dy6e5c/, Washer/Dryer , Fireplace , Dishwasher , Hardwood Floors , Walk-In Closets , Storage Space ,
2417 23rd Ave SMinneapolis MN 55404,$2600,3,2,1656 sq ft,Available Dec 1,https://www.apartments.com/2417-23rd-ave-s-minneapolis-mn/8vg8ev1/, Washer/Dryer , Washer/Dryer Hookup , Dishwasher ,
