building_name,unit_name,address,beds,baths,rent,sqft,availability,url,amenities
,1320,1320 7th St SE Minneapolis MN 55414,4,4,$590.00 - $700.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/43213,"9 Foot Ceilings, Bedrooms Keyed Separately, Fresh Paint, Hardwood Floors, High Ceilings, Individual Leases, Oven, Parking Available, Porch, Refrigerator, Security Cameras On Site, Walking Distance to Class, Window Treatments & Coverings, Cable Ready, Common Area Wi-Fi, Entrance Secured, Internet Ready, Laundry On-Site, Laundry Room"
,lower unit,1057 23rd Ave SE Minneapolis MN 55414,5,3,$3150.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/58543,"Oven, Refrigerator, Washer & Dryer, 24 Hour Emergency Maintenance, No Pets Allowed"
,611-2,611 6th St SE Minneapolis MN 55414 USA,4,2,$2180.00,2600,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/100062,"Air Conditioning, Ample Closet Space, Bedrooms Keyed Separately, Carpet, Ceiling Fans, Central Heat and Air Conditioning, Dining Room, Dishwasher, Garbage Disposal, Microwave, New Carpet, Oven, Oversized Windows, Pantry, Parking Available, Patio, Porch, Private Balcony, Private Bathrooms, Private Patio, Refrigerator, Walking Distance to Class, Washer & Dryer, Window Treatments & Coverings, Cable Ready, Internet Ready, Laundry On-Site, Laundry Room, New Laundry Machines, On Bus Line, On-Site Storage, Deck"
,611-1,611 6th St SE Minneapolis MN 55414 USA,3,2,$1995.00,2300,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/100062,"Air Conditioning, Ample Closet Space, Bedrooms Keyed Separately, Carpet, Ceiling Fans, Central Heat and Air Conditioning, Dining Room, Dishwasher, Garbage Disposal, Microwave, New Carpet, Oven, Oversized Windows, Pantry, Parking Available, Patio, Porch, Private Balcony, Private Bathrooms, Private Patio, Refrigerator, Walking Distance to Class, Washer & Dryer, Window Treatments & Coverings, Cable Ready, Internet Ready, Laundry On-Site, Laundry Room, New Laundry Machines, On Bus Line, On-Site Storage, Deck"
1209 7th St SE,House,1209 7th St SE Minneapolis MN 55414,6,2,$4400.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/9568,"Hardwood Floors, Oven, Porch, Refrigerator, Walking Distance to Class, Washer & Dryer"
1209 7th St SE,#1,1209 7th St SE Minneapolis MN 55414,3,2,$1890.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/9568,"Hardwood Floors, Oven, Porch, Refrigerator, Walking Distance to Class, Washer & Dryer"
1209 7th St SE,#2,1209 7th St SE Minneapolis MN 55414,2,2,$1500.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/9568,"Hardwood Floors, Oven, Porch, Refrigerator, Walking Distance to Class, Washer & Dryer"
623 14th Ave SE,,623 14th Ave SE Minneapolis MN 55414,5,1,$3475.00,2000,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/9561,"Hardwood Floors, Oven, Refrigerator, Walking Distance to Class, Washer & Dryer"
The Moose Lodge,101,1309 SE 8th St Minneapolis MN 55414,5,2,$3400.00,1200,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/9549,"Air Conditioning, Fireplace, Flat-Screen TV, Oven, Refrigerator, Sound Barrier Construction, Walking Distance to Class, Washer & Dryer"
The Moose Lodge,201,1309 SE 8th St Minneapolis MN 55414,5,2,$3500.00,1200,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/9549,"Air Conditioning, Fireplace, Flat-Screen TV, Oven, Refrigerator, Sound Barrier Construction, Walking Distance to Class, Washer & Dryer"
