building_name,unit_name,address,beds,baths,rent,sqft,availability,url,amenities
1519 Rollins Ave SE,#2,1519 Rollins Ave SE Minneapolis MN 55414 USA,5,2,3895.00,2400,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/78123,"{Dishwasher, Microwave, Oven, Porch, Refrigerator, Washer & Dryer}"
1410 7th St SE,#1,1410 7th St SE Minneapolis MN 55414 USA,5,2,3650.00,0,08-27-2026,https://listings.umn.edu/city/minneapolis-mn/listing/78122,"{Dishwasher, Microwave, Oven, Refrigerator}"
1107 7th St. SE,#2,1107 7th St SE Minneapolis MN 55414 USA,6,3,4795.00,2800,08-27-2026,https://listings.umn.edu/city/minneapolis-mn/listing/78109,"{Dishwasher, Microwave, Oven, Porch, Refrigerator, Washer & Dryer}"
404 8th St SE,2,404 SE 8th St Minneapolis MN 55414 USA,3,1,1550.00,750,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/99789,"{Dishwasher, Hardwood Floors, Oven, Parking Available, Refrigerator, Laundry On-Site}"
404 8th St SE,3,404 SE 8th St Minneapolis MN 55414 USA,3,1,1550.00,750,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/99789,"{Dishwasher, Hardwood Floors, Oven, Parking Available, Refrigerator, Laundry On-Site}"
1014 13th Ave SE,#2,1014 13th Ave SE Minneaopolis MN 55414 USA,5,2.5,3695.00,2000,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/78089,"{Dishwasher, Microwave, Oven, Refrigerator, Laundry On-Site}"
1014 13th Ave SE,#1,1014 13th Ave SE Minneaopolis MN 55414 USA,5,2.5,3495.00,2400,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/78089,"{Dishwasher, Microwave, Oven, Refrigerator, Laundry On-Site}"
The Freund Haus Annex,Individual Flexible Leasing,1023 University Ave SE Minneapolis MN 55414,1,2,600.00 - 700.00,,04-12-2026,https://listings.umn.edu/city/minneapolis-mn/listing/67926,"{9 Foot Ceilings, Air Conditioning, Bedrooms Keyed Separately, Central Heat and Air Conditioning, Fresh Paint, Hardwood Floors, High Ceilings, Individual Leases, Oven, Parking Available, Porch, Refrigerator, Security Cameras On Site, Walking Distance to Class, Window Treatments & Coverings, New Cabinets, Dishwasher, International Student Friendly Housing, Microwave, New Windows, Roommate Matching Available, Cable Ready, Common Area Wi-Fi, Entrance Secured, Internet Ready, Laundry On-Site, Laundry Room, Academic Term or 12-month, Academic year, Bedroom Sharing, Pets Allowed, Deck, Yard}"
The Freund Haus Annex,Semester Lease,1023 University Ave SE Minneapolis MN 55414,1,1,700.00,,04-12-2026,https://listings.umn.edu/city/minneapolis-mn/listing/67926,"{9 Foot Ceilings, Air Conditioning, Bedrooms Keyed Separately, Central Heat and Air Conditioning, Fresh Paint, Hardwood Floors, High Ceilings, Individual Leases, Oven, Parking Available, Porch, Refrigerator, Security Cameras On Site, Walking Distance to Class, Window Treatments & Coverings, New Cabinets, Dishwasher, International Student Friendly Housing, Microwave, New Windows, Roommate Matching Available, Cable Ready, Common Area Wi-Fi, Entrance Secured, Internet Ready, Laundry On-Site, Laundry Room, Academic Term or 12-month, Academic year, Bedroom Sharing, Pets Allowed, Deck, Yard}"
The Freund Haus Annex,3BR,1023 University Ave SE Minneapolis MN 55414,3,2,600.00 - 700.00,,04-12-2026,https://listings.umn.edu/city/minneapolis-mn/listing/67926,"{9 Foot Ceilings, Air Conditioning, Bedrooms Keyed Separately, Central Heat and Air Conditioning, Fresh Paint, Hardwood Floors, High Ceilings, Individual Leases, Oven, Parking Available, Porch, Refrigerator, Security Cameras On Site, Walking Distance to Class, Window Treatments & Coverings, New Cabinets, Dishwasher, International Student Friendly Housing, Microwave, New Windows, Roommate Matching Available, Cable Ready, Common Area Wi-Fi, Entrance Secured, Internet Ready, Laundry On-Site, Laundry Room, Academic Term or 12-month, Academic year, Bedroom Sharing, Pets Allowed, Deck, Yard}"
The Freund Haus Annex,2) Paris,1023 University Ave SE Minneapolis MN 55414,3,1,700.00 - 800.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/67926,"{9 Foot Ceilings, Air Conditioning, Bedrooms Keyed Separately, Central Heat and Air Conditioning, Fresh Paint, Hardwood Floors, High Ceilings, Individual Leases, Oven, Parking Available, Porch, Refrigerator, Security Cameras On Site, Walking Distance to Class, Window Treatments & Coverings, New Cabinets, Dishwasher, International Student Friendly Housing, Microwave, New Windows, Roommate Matching Available, Cable Ready, Common Area Wi-Fi, Entrance Secured, Internet Ready, Laundry On-Site, Laundry Room, Academic Term or 12-month, Academic year, Bedroom Sharing, Pets Allowed, Deck, Yard}"
The Freund Haus Annex,3) Brussels,1023 University Ave SE Minneapolis MN 55414,4,1,500.00 - 750.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/67926,"{9 Foot Ceilings, Air Conditioning, Bedrooms Keyed Separately, Central Heat and Air Conditioning, Fresh Paint, Hardwood Floors, High Ceilings, Individual Leases, Oven, Parking Available, Porch, Refrigerator, Security Cameras On Site, Walking Distance to Class, Window Treatments & Coverings, New Cabinets, Dishwasher, International Student Friendly Housing, Microwave, New Windows, Roommate Matching Available, Cable Ready, Common Area Wi-Fi, Entrance Secured, Internet Ready, Laundry On-Site, Laundry Room, Academic Term or 12-month, Academic year, Bedroom Sharing, Pets Allowed, Deck, Yard}"
