building_name,unit_name,address,beds,baths,rent,sqft,availability,url,amenities
1110 6th Street SE,#2,1110 6th St SE Minneapolis MN 55414 United States,7,2,4200.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/9584,"{Air Conditioning, Oven, Parking Available, Porch, Refrigerator, Walking Distance to Class, 24 Hour Emergency Maintenance, Laundry On-Site}"
Affordable 4-Bedroom House Close to U of M Campus,,1030 19th Ave SE Minneapolis MN 55414 USA,4,2,2550.00,2350,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/78106,"{Dishwasher, Microwave, Oven, Refrigerator, Deck, Yard}"
Affordable 6-Bedroom3 bath House Close to U of M Campus,,307 5th Ave SE Minneapolis MN 55414 USA,6,3,3995.00,2500,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/38220,"{Oven, Private Bathrooms, Refrigerator, Stainless Steel Kitchen Appliances, Utility Closet, Walk-in Closet, Study Room}"
Recently renovated7 bedroom house,,845 20th Ave SE Minneaopolis MN 55414 USA,7,3,4550.00,2500,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/38197,"{Air Conditioning, Breakfast Bar, Built-in Cabinets, Carpet, Dining Room, Dishwasher, Fresh Paint, Granite Countertops, Keyless Entry, Microwave, New Carpet, Oven, Pantry, Parking Available, Patio, Private Bathrooms, Refrigerator, Stainless Steel Kitchen Appliances, Utility Closet, Walk-in Closet, Window Treatments & Coverings, Laundry On-Site}"
Remodeled 10 Bedroom House in Dinkytown!,,524 12th Ave SE Minneapolis MN 55414 USA,10,5,8000.00,3000,08-27-2026,https://listings.umn.edu/city/minneapolis-mn/listing/115292,"{Dishwasher, Hardwood Floors, Microwave, Oven, Porch, Refrigerator, Stainless Steel Kitchen Appliances, Walk-in Closet, Washer & Dryer, Laundry On-Site}"
Affordable 4 Bedroom House - Close to U of M Campus!,,867 22nd Ave SE Minneapolis MN 55414 USA,4,2,2595.00,1460,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/78140,"{Oven, Refrigerator}"
Main level duplex w/spacious shared basement,,853 23rd Ave SE Minneapolis MN 55414 USA,3,1,1920.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/234812,{}
804 13th Ave SE,,804 13th Ave SE Minneapolis MN 55414,3,2,2085.00,,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/9565,"{Air Conditioning, Oven, Parking Available, Porch, Refrigerator, Walking Distance to Class, Washer & Dryer, 24 Hour Emergency Maintenance, Laundry On-Site, Deck}"
1064-66 16th Ave S,,1064 16th Ave S Minneapolis MN 55454 USA,4,1,1500.00,,04-07-2026,https://listings.umn.edu/city/minneapolis-mn/listing/111850,"{Built-in Cabinets, Hardwood Floors, Oven, Porch, Refrigerator}"
Spacious 5 Bedroom House in Como for Sept 2026!,,1055 17th Ave SE Minneapolis MN 55414 USA,5,2,2500.00,0,09-01-2026,https://listings.umn.edu/city/minneapolis-mn/listing/78278,"{Cats, Dogs}"
